Student Name,% Grade Final,% Grade To Date,Days Behind,Test Avg. % Score,Key Concept Avg. % Score,Section Assessment Avg. % Score,Real World Activity Avg. % Score,Obj. Total TOT,Obj. Avg. % Score,Obj. Avg. Total TOT,Obj. Avg. Practice Sets,Obj. Avg. Assessed Sets,Obj. Avg. Intro TOT,Obj. Avg. Read TOT,Obj. Avg. Watch TOT,Obj. Avg. Explore TOT,Obj. Avg. Practice TOT,Obj. Avg. Assessed TOT,
ABEL, QUINCY,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
ALEMBERT, BRYAN,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
APOLLONIUS, NORMA,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
BABBAGE, ARTHUR,23%,93%,1159,90%,0%,0%,0%,11:24:13,97%,0:00:00,1,1,0:01:01,0:05:07,0:02:17,0:01:19,0:09:42,0:07:29
BAIRE, ELAINE,39%,98%,1159,95%,0%,0%,0%,21:18:04,100%,0:00:00,1,1,0:03:12,0:06:50,0:01:51,0:05:00,0:09:56,0:07:57
BANACH, DANIEL,6%,90%,1159,0%,0%,0%,0%,15:33:25,90%,0:00:00,1,2,0:05:03,0:14:04,0:14:09,0:05:38,0:30:15,0:10:27
BERNOULLI, NICHOLAS,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
BOREL, tirana,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
CANTOR, GEORGE,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
CARDANO, PHALYNN,3%,62%,1159,0%,0%,0%,0%,3:32:46,62%,0:00:00,1,1,0:01:53,0:05:36,0:02:32,0:03:32,0:08:14,0:17:06
CARTAN, FERNANDO,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
CAUCHY, JAMES,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
CAYLEY, ANGELA,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
CECH, DAMMIAN,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
DEL FERRO, Angela,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
DENJOY, Leffridge,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
DIOPHANTUS, Sally,0%,0%,1159,0%,0%,0%,0%,4:41:27,0%,0:00:00,1,1,0:02:00,0:05:45,0:00:42,0:02:49,0:10:59,0:08:41
FATOU, JAMAAL,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
FIBONACCI, Gualberto,18%,90%,1159,0%,0%,0%,0%,10:41:29,90%,0:00:00,1,2,0:00:47,0:00:00,0:00:40,0:01:10,0:06:54,0:12:54
GALOIS, MEHRAN,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
GAUSS, manuel,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
GELFAND, Gennifer,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
GERMAIN, RICHARD,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
HAHN, Rashaad,0%,0%,1159,0%,0%,0%,0%,1:38:28,0%,0:00:00,1,1,0:00:25,0:02:17,0:01:35,0:00:39,0:02:52,0:03:56
HALMOS, JOSSIE,34%,93%,1159,90%,0%,0%,0%,39:42:34,96%,0:00:00,1,1,0:08:52,0:10:36,0:05:08,0:13:41,0:11:12,0:25:52
HAMILTON, TED,3%,86%,1159,0%,0%,0%,0%,37:37:32,86%,0:00:00,1,14,0:00:45,0:01:02,0:02:51,0:00:35,0:02:31,0:25:57
HARDY, ERIN,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
HAUSDORFF, DEREK,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
HEAVISIDE, richard,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
HERON, JOHAMA,20%,100%,1159,0%,0%,0%,0%,17:43:42,100%,0:00:00,1,2,0:02:33,0:03:53,0:00:42,0:04:13,0:13:03,0:11:16
JOHNSON, MOHAMMAD,0%,0%,1159,0%,0%,0%,0%,0:00:00,0%,0:00:00,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
